time,open,high,low,close,Basis,Upper,Lower,Volume,EMA,ATR
1225981800,31.5,31.86,30.56,30.74,NaN,NaN,NaN,17724993,NaN,NaN
1225996200,30.76,31.17,30.4,30.59,NaN,NaN,NaN,13086253,NaN,NaN
1226068200,30.93,31.48,30.59,31.28,NaN,NaN,NaN,15060553,NaN,NaN
1226082600,31.3,31.43,30.72,31.25,NaN,NaN,NaN,10081006,NaN,NaN
1226327400,31.94,31.97,30.55,30.79,NaN,NaN,NaN,11138335,NaN,NaN
1226341800,30.79,31.04,30.4,30.76,NaN,NaN,NaN,7423487,NaN,NaN
1226413800,30.47,30.51,29.73,29.86,NaN,NaN,NaN,11471543,NaN,NaN
1226428200,29.87,30.76,29.78,30.15,NaN,NaN,NaN,13544227,NaN,NaN
1226500200,29.65,29.79,29.16,29.35,NaN,NaN,NaN,16462881,NaN,NaN
1226514600,29.35,29.37,28.65,28.73,NaN,NaN,NaN,12449739,NaN,NaN
1226586600,28.63,28.97,27.28,28.03,NaN,NaN,NaN,17801895,NaN,NaN
1226601000,28.07,30.53,27.96,30.51,NaN,NaN,NaN,20623722,NaN,NaN
1226673000,29.8,30.05,28.96,29.49,NaN,NaN,NaN,17222123,NaN,NaN
1226687400,29.48,30.41,28.87,28.97,NaN,NaN,NaN,14652252,NaN,NaN
1226932200,28.49,29.23,28.26,28.86,NaN,NaN,NaN,16185751,NaN,NaN
1226946600,28.86,29.06,28.32,28.37,NaN,NaN,NaN,10504956,NaN,NaN
1227018600,28.56,28.74,27.79,27.98,NaN,NaN,NaN,17036196,NaN,NaN
1227033000,27.97,28.38,27.39,28.34,NaN,NaN,NaN,19348490,NaN,NaN
1227105000,28.4,28.78,27.47,27.47,NaN,NaN,NaN,18217092,NaN,NaN
1227119400,27.46,27.8,26.8,26.83,NaN,NaN,NaN,16573278,NaN,NaN
1227191400,26.53,27.45,26,26.81,NaN,NaN,NaN,26965659,NaN,NaN
1227205800,26.79,27.15,25.48,25.63,NaN,NaN,NaN,19338313,NaN,NaN
1227277800,25.96,26.24,25.21,25.55,NaN,NaN,NaN,17620661,NaN,NaN
1227292200,25.55,26.68,25.05,26.68,NaN,NaN,NaN,18465879,NaN,NaN
1227537000,27.22,28.05,26.99,27.78,NaN,NaN,NaN,18726654,NaN,NaN
1227551400,27.78,28.64,27.68,28.3,NaN,NaN,NaN,10386532,NaN,NaN
1227623400,28.63,28.64,27.53,27.84,NaN,NaN,NaN,14063309,NaN,NaN
1227637800,27.85,28.43,27.53,28.13,NaN,NaN,NaN,7837778,NaN,NaN
1227709800,27.88,29.06,27.81,28.88,NaN,NaN,NaN,11069015,NaN,NaN
1227724200,28.89,29.36,28.61,29.35,NaN,NaN,NaN,8510408,NaN,NaN
1227882600,29.04,29.18,28.84,29.15,NaN,NaN,NaN,3433102,NaN,NaN
1228141800,28.5,28.51,27.44,27.58,NaN,NaN,NaN,11426844,NaN,NaN
1228156200,27.585,27.76,26.9,26.94,NaN,NaN,NaN,11055003,NaN,NaN
1228228200,27.28,27.88,26.85,27.72,NaN,NaN,NaN,13612459,NaN,NaN
1228242600,27.72,27.86,26.99,27.86,NaN,NaN,NaN,11831475,NaN,NaN
1228314600,27.13,28.52,27.08,27.87,NaN,NaN,NaN,15491467,NaN,NaN
1228329000,27.86,28.7,27.52,28.62,NaN,NaN,NaN,14549480,NaN,NaN
1228401000,28.16,28.78,28.11,28.11,NaN,NaN,NaN,14692356,NaN,NaN
1228415400,28.1,28.46,27.33,27.83,NaN,NaN,NaN,13648449,NaN,NaN
1228487400,27.5,27.69,26.96,27.55,NaN,NaN,NaN,13572371,NaN,NaN
1228501800,27.54,29.07,27.54,28.93,NaN,NaN,NaN,16179854,NaN,NaN
1228746600,29.55,30.17,29.44,29.95,NaN,NaN,NaN,12385797,NaN,NaN
1228761000,29.94,30.46,29.7,30.07,NaN,NaN,NaN,11475061,NaN,NaN
1228833000,29.68,30.82,29.58,30.05,NaN,NaN,NaN,11472308,NaN,NaN
1228847400,30.05,30.24,29.61,30,NaN,NaN,NaN,10169013,NaN,NaN
1228919400,30.09,30.45,29.76,30.13,NaN,NaN,NaN,10071118,NaN,NaN
1228933800,30.13,30.2,29.62,29.93,NaN,NaN,NaN,11069753,NaN,NaN
1229005800,29.8,30.27,29.53,29.98,NaN,NaN,NaN,11003764,NaN,NaN
1229020200,29.99,30.04,28.94,29.08,NaN,NaN,NaN,11375326,NaN,NaN
1229092200,28.69,29.71,28.48,29.49,NaN,NaN,NaN,11089426,NaN,NaN
1229106600,29.5,29.85,29.19,29.67,NaN,NaN,NaN,6695635,NaN,NaN
1229351400,29.72,29.76,28.81,28.99,NaN,NaN,NaN,6508039,NaN,NaN
1229365800,28.98,29.37,28.75,29.17,NaN,NaN,NaN,5467629,NaN,NaN
1229437800,29.42,29.92,29.41,29.82,NaN,NaN,NaN,7042298,NaN,NaN
1229452200,29.81,30.66,29.71,30.57,NaN,NaN,NaN,17020747,NaN,NaN
1229524200,30.24,30.49,29.83,30.36,NaN,NaN,NaN,10668560,NaN,NaN
1229538600,30.36,30.59,30.12,30.2,NaN,NaN,NaN,8503747,NaN,NaN
1229610600,30.19,30.39,30,30.19,NaN,NaN,NaN,7734539,NaN,NaN
1229625000,30.18,30.2,29.36,29.68,NaN,NaN,NaN,9327202,NaN,NaN
1229697000,29.98,30.37,29.78,29.98,NaN,NaN,NaN,8420576,NaN,NaN
1229711400,29.98,30.1,29.77,29.86,NaN,NaN,NaN,5253146,NaN,NaN
1229956200,29.86,29.92,29.17,29.27,NaN,NaN,NaN,5274820,NaN,NaN
1229970600,29.25,29.27,28.74,29.26,NaN,NaN,NaN,6650983,NaN,NaN
1230042600,29.28,29.62,28.99,29.11,NaN,NaN,NaN,6558552,NaN,NaN
1230057000,29.11,29.2,28.9,29.07,NaN,NaN,NaN,3736627,NaN,NaN
1230129000,29.2,29.21,28.98,29.09,NaN,NaN,NaN,3170017,NaN,NaN
1230301800,29.19,29.22,28.98,29.01,NaN,NaN,NaN,858634,NaN,NaN
1230316200,29.02,29.19,29.02,29.14,NaN,NaN,NaN,1629866,NaN,NaN
1230561000,29.23,29.24,28.46,28.47,NaN,NaN,NaN,2456523,NaN,NaN
1230575400,28.47,28.83,28.47,28.82,NaN,NaN,NaN,5925625,NaN,NaN
1230647400,28.97,29.58,28.95,29.36,NaN,NaN,NaN,5876037,NaN,NaN
1230661800,29.35,29.54,29.22,29.47,NaN,NaN,NaN,3514892,NaN,NaN
1230733800,29.48,29.99,29.46,29.88,NaN,NaN,NaN,4261973,NaN,NaN
1230748200,29.88,30.07,29.72,29.73,NaN,NaN,NaN,6485714,NaN,NaN
1230906600,29.77,30.72,29.7,30.7,NaN,NaN,NaN,7816271,NaN,NaN
1230921000,30.7,31.13,30.65,31.01,NaN,NaN,NaN,7737266,NaN,NaN
1231165800,30.83,31.16,30.59,31.09,NaN,NaN,NaN,7464280,NaN,NaN
1231180200,31.1,31.32,30.81,31.01,NaN,NaN,NaN,6158156,NaN,NaN
1231252200,31.28,31.57,31.12,31.37,NaN,NaN,NaN,9406669,NaN,NaN
1231266600,31.35,31.63,31.19,31.3,NaN,NaN,NaN,7689779,NaN,NaN
1231338600,30.81,30.89,30.47,30.7,NaN,NaN,NaN,8809394,NaN,NaN
1231353000,30.7,30.75,30.2,30.44,NaN,NaN,NaN,5730875,NaN,NaN
1231425000,30.34,30.51,30.09,30.22,NaN,NaN,NaN,7624958,NaN,NaN
1231439400,30.22,30.8,30.2,30.77,NaN,NaN,NaN,7481947,NaN,NaN
1231511400,30.79,30.79,29.93,30.15,NaN,NaN,NaN,8652498,NaN,NaN
1231525800,30.15,30.46,30.02,30.07,NaN,NaN,NaN,7245020,NaN,NaN
1231770600,30.12,30.14,29.44,29.55,NaN,NaN,NaN,7128535,NaN,NaN
1231785000,29.54,29.63,29.21,29.52,NaN,NaN,NaN,8375517,NaN,NaN
1231857000,29.52,29.98,29.32,29.39,NaN,NaN,NaN,14341840,NaN,NaN
1231871400,29.39,29.68,29.18,29.53,NaN,NaN,NaN,19619477,NaN,NaN
1231943400,29.17,29.28,28.56,28.69,NaN,NaN,NaN,10255341,NaN,NaN
1231957800,28.69,28.93,28.48,28.66,NaN,NaN,NaN,8435739,NaN,NaN
1232029800,28.55,28.61,28.07,28.5,NaN,NaN,NaN,12203858,NaN,NaN
1232044200,28.52,29.34,28.47,29.1,NaN,NaN,NaN,15302502,NaN,NaN
1232116200,29.53,29.59,28.7,28.97,NaN,NaN,NaN,12618335,NaN,NaN
1232130600,28.98,29.55,28.94,29.42,NaN,NaN,NaN,5732214,NaN,NaN
1232461800,29.29,29.42,28.34,28.48,NaN,NaN,NaN,9143711,NaN,NaN
1232476200,28.48,28.48,27.97,28.01,NaN,NaN,NaN,7101081,NaN,NaN
1232548200,28.43,28.68,28.1,28.25,NaN,NaN,NaN,9952336,NaN,NaN
1232562600,28.26,29.19,28.25,29.15,NaN,NaN,NaN,10926332,NaN,NaN
1232634600,28.52,28.79,28.27,28.57,NaN,NaN,NaN,12454538,NaN,NaN
