time,open,high,low,close,Volume,ATR
1698339300,342.71,343.04,342.57,342.59,107792,0.6566516969143114
1698339600,342.64,343.76,342.43,343.57,244283,0.7047480042775737
1698339900,343.54,343.95,343.49,343.72,143380,0.6872660039720312
1698340200,343.75,343.75,343.45,343.66,75112,0.6596041465454583
1698340500,343.64,343.93,343.53,343.54,90825,0.6410609932207851
1698340800,343.56,343.56,342.47,342.54,158820,0.6731280651335844
1698341100,342.58,343.04,342.5,342.84,78622,0.663618917624044
1698341400,342.86,343.45,342.35,343.39,152206,0.6947889949366098
1698341700,343.39,343.51,343.15,343.22,139226,0.6708754952982815
1698342000,343.22,343.99,343.15,343.88,136402,0.6829558170626921
1698342300,343.88,344.51,343.87,344.28,181596,0.679887544415356
1698342600,344.27,344.38,343.9,344.18,79785,0.6656098626714033
1698342900,344.16,344.42,343.85,344.395,75849,0.6587805867663026
1698343200,344.4,344.63,344.1,344.225,105492,0.6495819734258504
1698343500,344.23,344.76,344.19,344.45,93479,0.6438975467525749
1698343800,344.46,345.06,344.45,344.82,97030,0.6414762934131063
1698344100,344.86,344.99,344.46,344.62,70243,0.633513701026458
1698344400,344.66,344.81,344.43,344.52,59332,0.6154055795245679
1698344700,344.5,345.235,344.24,345.2,117284,0.6425194667013848
1698345000,345.2,346.01,344.85,345.83,172045,0.679482361936998
1698345300,345.84,345.85,345.35,345.44,102909,0.6666621932272124
1698345600,345.44,345.89,345.17,345.5,109535,0.6704720365681237
1698345900,345.53,346.13,345.43,345.81,158231,0.6725811768132569
1698346200,345.84,346.4,345.76,346.33,140735,0.6702539498980232
1698346500,346.33,346.66,346.23,346.66,84074,0.6530929534767363
1698346800,346.655,347,346.47,346.82,140297,0.6443005996569676
1698347100,346.83,346.89,346.23,346.3,128840,0.6454219853957534
1698347400,346.31,346.35,345.54,345.61,122389,0.6571775578674854
1698347700,345.61,345.85,345.34,345.59,116361,0.6466648751626684
1698348000,345.62,345.81,345.3,345.57,94100,0.6369030983653342
1698348300,345.53,345.77,345.33,345.35,106699,0.6228385913392387
1698348600,345.36,345.38,344.88,344.97,119531,0.6140644062435788
1698348900,344.93,344.95,343.91,344.1,197518,0.6459169486547519
1698349200,344.12,344.12,343.35,343.6,175603,0.6547800237508398
1698349500,343.6,343.77,343.275,343.59,195491,0.6433671649114945
1698349800,343.57,344.33,343.55,343.71,280868,0.6531266531321
1698350100,343.69,344.02,343.45,343.6,567260,0.6471890350512354
1698413400,346.43,347.46,346.41,346.84,443310,0.8766755325475727
1698413700,346.91,347.25,346.48,346.61,210208,0.8690558516513162
1698414000,346.6,347.33,346.33,347.29,230663,0.8784090051047936
1698414300,347.3,347.62,346.09,346.18,282952,0.9249512190258818
1698414600,346.185,346.85,346.09,346.11,195508,0.9131689890954651
1698414900,346.1,347.03,346.07,346.93,131523,0.9165140613029303
1698415200,346.95,347.32,346.13,347.25,285911,0.9360487712098637
1698415500,347.29,347.67,346.15,346.5,217461,0.9777595732663048
1698415800,346.52,347.97,346.52,347.4,160620,1.012919603747285
1698416100,347.37,347.47,346.48,346.56,126190,1.011282489193908
1698416400,346.7,347.62,346.7,347.03,105597,1.0147623113943434
1698416700,347.03,347.701,346.78,346.9,189437,1.008065003437608
1698417000,346.89,347.23,346.56,346.98,139585,0.9839175031920657
1698417300,347.01,347.52,346.29,346.35,203095,1.0014948243926296
1698417600,346.38,346.4,345.66,345.71,204976,0.9828166226502955
1698417900,345.75,346.45,345.68,346.32,114227,0.9676154353181302
1698418200,346.39,347.07,346.37,346.84,115260,0.9520714756525495
1698418500,346.82,347.23,346.76,347.15,103390,0.9176377988202263
1698418800,347.15,347.325,346.89,347.105,188209,0.8831636703330675
1698419100,347.1,347.8,347.01,347.68,106582,0.8765091224521356
1698419400,347.69,348.115,347.42,348.075,197341,0.8635441851341256
1698419700,348.08,348.77,348.08,348.3,222160,0.8515053147674019
1698420000,348.29,348.84,348.14,348.61,98554,0.8406835065697295
1698420300,348.59,348.7,348.32,348.41,120628,0.8077775418147485
1698420600,348.41,348.52,347.49,347.56,146756,0.8236505745422644
1698420900,347.59,348.23,347.53,347.87,105189,0.8148183906463916
1698421200,347.9,348.07,347.51,347.57,54619,0.7966170770287924
1698421500,347.58,347.65,347.16,347.56,60109,0.7747158572410181
1698421800,347.62,347.88,347.53,347.6,42619,0.7443790102952327
1698422100,347.56,348.07,347.555,348.01,39704,0.7279947952741436
1698422400,347.99,348.24,347.53,347.82,80416,0.7267094527545644
1698422700,347.85,348.28,347.75,348.1,50213,0.7126587775578078
1698423000,348.08,348.13,347.37,347.42,44680,0.7160402934465352
1698423300,347.405,347.92,347.31,347.89,52913,0.7084659867717836
1698423600,347.865,347.99,347.36,347.41,89132,0.7028612734309416
1698423900,347.42,347.56,346.6,347.09,106985,0.72122832532873
1698424200,347.15,347.22,346.85,347.17,60330,0.6961405878052497
1698424500,347.15,347.58,347.12,347.49,57093,0.6792734029620161
1698424800,347.49,347.52,346.93,346.95,68241,0.6728967313218703
1698425100,346.95,346.955,346.58,346.58,50938,0.6516183933703081
1698425400,346.63,346.65,346.13,346.56,98722,0.642217079558142
1698425700,346.55,346.55,346.25,346.32,61347,0.6184872881611321
1698426000,346.36,346.53,346.07,346.11,49416,0.6071667675781925
1698426300,346.1,346.1,345.15,345.47,225029,0.63236914132261
1698426600,345.47,346.02,345.14,345.25,148817,0.6500570597995662
1698426900,345.27,345.49,344.79,345.1,239599,0.653624412671025
1698427200,345.05,345.47,344.8,345.34,101393,0.6547940974802386
1698427500,345.33,345.94,345.04,345.23,203446,0.6723088048030771
1698427800,345.18,345.4,344.78,345.33,133118,0.6685724616028575
1698428100,345.33,345.57,344.88,345.08,105479,0.6701030000597961
1698428400,345.03,345.71,344.55,345.41,119231,0.7050956429126655
1698428700,345.38,345.46,344.93,345.13,72231,0.6925888112760445
1698429000,345.12,345.58,344.7,344.77,94837,0.7059753247563268
1698429300,344.77,345,344.56,344.89,107936,0.686977087273732
1698429600,344.88,345.09,344.44,344.6,92287,0.684335866754178
1698429900,344.59,344.79,344.145,344.53,161581,0.6815261619860252
1698430200,344.55,344.99,344.53,344.82,86288,0.6657028647013118
1698430500,344.82,345.44,344.75,344.88,106879,0.6674383743655037
1698430800,344.87,344.89,344.22,344.54,112111,0.6676213476251076
1698431100,344.45,344.61,344.22,344.52,86934,0.6477912513661703
1698431400,344.54,345.48,344.25,344.99,144529,0.6893775905543024
1698431700,345.01,345.76,344.89,345.62,120419,0.7022791912289954
1698432000,345.66,345.74,345.36,345.59,79657,0.6792592489983525
1698432300,345.6,345.86,344.91,344.97,106515,0.6985978740698979
1698432600,345.02,345.23,344.74,344.915,95838,0.6836980259220488
1698432900,344.95,344.97,344.19,344.48,153162,0.6905767383561903
1698433200,344.475,344.79,344.31,344.54,158595,0.6755355427593208
1698433500,344.51,344.92,344.45,344.73,93687,0.6608544325622284
1698433800,344.71,345.23,344.53,344.79,119043,0.6636505445220725
