datetime,open,high,low,close
2013-01-02 14:30:00,66.7,67.09,66.69,66.86
2013-01-02 15:30:00,66.86,66.88,66.505,66.64
2013-01-02 16:30:00,66.64,66.66,66.49,66.6
2013-01-02 17:30:00,66.6,66.73,66.52,66.7
2013-01-02 18:30:00,66.7,66.79,66.57,66.77
2013-01-02 19:30:00,66.77,66.93,66.67,66.89
2013-01-02 20:30:00,66.89,67.18,66.88,67.18
2013-01-03 14:30:00,67.19,67.31,67.0,67.17
2013-01-03 15:30:00,67.18,67.25,67.1,67.23
2013-01-03 16:30:00,67.22,67.33,67.22,67.26
2013-01-03 17:30:00,67.27,67.28,67.13,67.23
2013-01-03 18:30:00,67.23,67.28,66.98,67.03
2013-01-03 19:30:00,67.02,67.03,66.715,66.76
2013-01-03 20:30:00,66.76,66.875,66.66,66.86
2013-01-04 14:30:00,66.87,66.87,66.58,66.66
2013-01-04 15:30:00,66.67,66.68,66.47,66.61
2013-01-04 16:30:00,66.62,66.83,66.59,66.81
2013-01-04 17:30:00,66.82,66.84,66.66,66.74
2013-01-04 18:30:00,66.73,66.76,66.65,66.73
2013-01-04 19:30:00,66.73,66.87,66.695,66.85
2013-01-04 20:30:00,66.85,66.855,66.635,66.65
2013-01-07 14:30:00,66.44,66.56,66.26,66.56
2013-01-07 15:30:00,66.55,66.69,66.51,66.67
2013-01-07 16:30:00,66.68,66.7,66.37,66.41
2013-01-07 17:30:00,66.41,66.53,66.39,66.53
2013-01-07 18:30:00,66.52,66.57,66.36,66.56
2013-01-07 19:30:00,66.57,66.75,66.52,66.71
2013-01-07 20:30:00,66.71,66.73,66.62,66.66
2013-01-08 14:30:00,66.64,66.81,66.39,66.5
2013-01-08 15:30:00,66.49,66.5,66.17,66.21
2013-01-08 16:30:00,66.22,66.38,66.21,66.29
2013-01-08 17:30:00,66.29,66.44,66.21,66.42
2013-01-08 18:30:00,66.41,66.54,66.4,66.46
2013-01-08 19:30:00,66.46,66.6,66.36,66.58
2013-01-08 20:30:00,66.58,66.6,66.39,66.54
2013-01-09 14:30:00,66.63,66.94,66.56,66.92
2013-01-09 15:30:00,66.91,66.91,66.79,66.86
2013-01-09 16:30:00,66.86,66.91,66.79,66.81
2013-01-09 17:30:00,66.8,66.84,66.66,66.76
2013-01-09 18:30:00,66.77,66.87,66.75,66.83
2013-01-09 19:30:00,66.84,66.84,66.63,66.77
2013-01-09 20:30:00,66.77,66.77,66.68,66.76
2013-01-10 14:30:00,67.22,67.27,66.9,66.91
2013-01-10 15:30:00,66.91,66.91,66.55,66.71
2013-01-10 16:30:00,66.71,66.82,66.69,66.8
2013-01-10 17:30:00,66.81,66.85,66.73,66.82
2013-01-10 18:30:00,66.81,66.86,66.73,66.765
2013-01-10 19:30:00,66.76,67.16,66.75,67.16
2013-01-10 20:30:00,67.16,67.18,67.11,67.16
2013-01-11 14:30:00,67.14,67.29,67.02,67.04
2013-01-11 15:30:00,67.04,67.14,67.03,67.03
2013-01-11 16:30:00,67.03,67.18,67.01,67.13
2013-01-11 17:30:00,67.13,67.16,67.09,67.12
2013-01-11 18:30:00,67.12,67.25,67.11,67.25
2013-01-11 19:30:00,67.25,67.28,67.13,67.27
2013-01-11 20:30:00,67.27,67.28,67.2,67.25
2013-01-14 14:30:00,66.91,67.15,66.68,66.74
2013-01-14 15:30:00,66.73,66.9,66.72,66.82
2013-01-14 16:30:00,66.83,66.87,66.74,66.77
2013-01-14 17:30:00,66.79,66.86,66.73,66.85
2013-01-14 18:30:00,66.85,67.04,66.74,67.01
2013-01-14 19:30:00,67.03,67.07,66.945,66.95
2013-01-14 20:30:00,66.95,66.96,66.78,66.95
2013-01-15 14:30:00,66.64,66.67,66.34,66.41
2013-01-15 15:30:00,66.4,66.54,66.39,66.47
2013-01-15 16:30:00,66.465,66.61,66.46,66.58
2013-01-15 17:30:00,66.58,66.72,66.58,66.64
2013-01-15 18:30:00,66.63,66.67,66.43,66.44
2013-01-15 19:30:00,66.44,66.69,66.42,66.64
2013-01-15 20:30:00,66.65,66.68,66.58,66.63
2013-01-16 14:30:00,66.73,67.0,66.6,66.94
2013-01-16 15:30:00,66.945,66.96,66.8,66.93
2013-01-16 16:30:00,66.92,66.98,66.89,66.92
2013-01-16 17:30:00,66.9,66.9,66.8,66.88
2013-01-16 18:30:00,66.885,67.07,66.88,67.06
2013-01-16 19:30:00,67.06,67.12,66.96,66.96
2013-01-16 20:30:00,66.96,67.01,66.9,66.9
2013-01-17 14:30:00,67.18,67.35,67.065,67.29
2013-01-17 15:30:00,67.285,67.285,67.08,67.25
2013-01-17 16:30:00,67.26,67.3,67.18,67.29
2013-01-17 17:30:00,67.28,67.31,67.21,67.28
2013-01-17 18:30:00,67.29,67.48,67.27,67.42
2013-01-17 19:30:00,67.42,67.45,67.24,67.29
2013-01-17 20:30:00,67.28,67.36,67.23,67.23
2013-01-18 14:30:00,67.01,67.13,66.89,67.02
2013-01-18 15:30:00,67.02,67.02,66.79,66.86
2013-01-18 16:30:00,66.86,66.87,66.77,66.82
2013-01-18 17:30:00,66.81,67.01,66.8,66.97
2013-01-18 18:30:00,66.97,66.99,66.95,66.96
2013-01-18 19:30:00,66.96,67.0,66.93,67.0
2013-01-18 20:30:00,67.0,67.14,66.995,67.12
2013-01-22 14:30:00,67.15,67.22,66.81,66.81
2013-01-22 15:30:00,66.82,66.88,66.76,66.84
2013-01-22 16:30:00,66.84,66.94,66.74,66.93
2013-01-22 17:30:00,66.93,67.01,66.89,66.98
2013-01-22 18:30:00,66.98,67.09,66.94,67.06
2013-01-22 19:30:00,67.075,67.15,66.99,67.05
2013-01-22 20:30:00,67.06,67.21,67.0,67.2
2013-01-23 14:30:00,67.56,67.79,67.46,67.61
2013-01-23 15:30:00,67.62,67.66,67.5,67.53
2013-01-23 16:30:00,67.53,67.59,67.52,67.53
2013-01-23 17:30:00,67.54,67.66,67.49,67.63
2013-01-23 18:30:00,67.62,67.65,67.55,67.6
2013-01-23 19:30:00,67.6,67.72,67.6,67.67
2013-01-23 20:30:00,67.67,67.67,67.59,67.59
2013-01-24 14:30:00,66.685,67.19,66.65,67.16
2013-01-24 15:30:00,67.16,67.27,67.08,67.26
2013-01-24 16:30:00,67.26,67.27,67.04,67.07
2013-01-24 17:30:00,67.06,67.06,66.75,66.85
2013-01-24 18:30:00,66.85,66.855,66.57,66.65
2013-01-24 19:30:00,66.65,66.79,66.65,66.76
2013-01-24 20:30:00,66.765,66.89,66.64,66.64
2013-01-25 14:30:00,66.89,67.18,66.74,66.8
2013-01-25 15:30:00,66.8,66.96,66.75,66.89
2013-01-25 16:30:00,66.9,66.99,66.75,66.83
2013-01-25 17:30:00,66.82,66.96,66.78,66.93
2013-01-25 18:30:00,66.92,67.14,66.92,67.1
2013-01-25 19:30:00,67.1,67.19,66.95,67.06
2013-01-25 20:30:00,67.07,67.09,66.9,67.0
2013-01-28 14:30:00,67.02,67.25,66.93,67.17
2013-01-28 15:30:00,67.17,67.28,67.1,67.21
2013-01-28 16:30:00,67.22,67.38,67.22,67.27
2013-01-28 17:30:00,67.28,67.34,67.03,67.06
